Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
01046103,GAEC des Prelions,2015,Air,Ammoniac (NH3),17100,kg/an
01050004,EARL Les Cornalières,2015,Air,Ammoniac (NH3),14000,kg/an
01074121,AVIPONTE,2015,Air,Ammoniac (NH3),24100,kg/an
01115003,SARL de Montburon,2015,Air,Ammoniac (NH3),11000,kg/an
01163009,SARL ELEVAGE DES CHARMES,2015,Air,Ammoniac (NH3),20500,kg/an
01163177,EARL des Quatres Saisons,2015,Air,Ammoniac (NH3),14500,kg/an
01301084,EARL Mathieu Frères,2015,Air,Ammoniac (NH3),26500,kg/an
01312009,SAS Pelizzari Frères,2015,Air,Ammoniac (NH3),40900,kg/an
01343009,SAS AIRPORC / ELEVAGE GREZIAT,2015,Air,Ammoniac (NH3),11600,kg/an
01346010,SCEA SOGIFRA,2015,Air,Ammoniac (NH3),15000,kg/an
01374138,GAEC de l'Orme,2015,Air,Ammoniac (NH3),24200,kg/an
01441045,SA Larçon,2015,Air,Ammoniac (NH3),19000,kg/an
02017039,SCEA Les COUTURES,2015,Air,Ammoniac (NH3),28400,kg/an
02136105,sarl ldp,2015,Air,Ammoniac (NH3),26800,kg/an
02147039,SCEA des 3B,2015,Air,Ammoniac (NH3),13200,kg/an
02355051,sarl ldp,2015,Air,Ammoniac (NH3),51900,kg/an
02372851,GAEC MANSCOURT,2015,Air,Ammoniac (NH3),14700,kg/an
02422103,Elevage de la Ferme MALIN,2015,Air,Ammoniac (NH3),22900,kg/an
02559061,SA DIANE AGRI,2015,Air,Ammoniac (NH3),25000,kg/an
02813030,EARL DE LA BREZE,2015,Air,Ammoniac (NH3),10000,kg/an
03003065,SARL JEANDINET,2015,Air,Ammoniac (NH3),24000,kg/an
03146008,GAEC DE ROOVER,2015,Air,Ammoniac (NH3),28400,kg/an
03197999,CHENE Alain,2015,Air,Ammoniac (NH3),10700,kg/an
03237999,AUVERGNE POUSSINS,2015,Air,Ammoniac (NH3),11800,kg/an
04197005,EARL de la NORIA,2015,Air,Ammoniac (NH3),15400,kg/an
051.00009,ISDND ALLEMANT,2015,Air,Méthane (CH4),701000,kg/an
051.00009,ISDND ALLEMANT,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),13600.000,t/an
051.00009,ISDND ALLEMANT,2015,Air,CO2 Total d'origine biomasse uniquement,13600.000,t/an
051.00097,NESTLE - Usine de Boué,2015,Air,CO2 Total d'origine non biomasse uniquement,17900.000,t/an
051.00097,NESTLE - Usine de Boué,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),17900.000,t/an
051.00114,Etablissement de Bucy le Long,2015,Air,Composés organiques volatils non méthaniques (COVNM),70400,kg/an
051.00114,Etablissement de Bucy le Long,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),105000,kg/an
051.00114,Etablissement de Bucy le Long,2015,Air,CO2 Total d'origine non biomasse uniquement,115000.000,t/an
051.00114,Etablissement de Bucy le Long,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),149000.000,t/an
051.00114,Etablissement de Bucy le Long,2015,Air,CO2 Total d'origine biomasse uniquement,34100.000,t/an
051.00143,Greenfield SAS,2015,Air,CO2 Total d'origine non biomasse uniquement,24200.000,t/an
051.00143,Greenfield SAS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),24200.000,t/an
051.00143,Greenfield SAS,2015,Eau (direct),Demande chimique en oxygène (DCO),322000,kg/an
051.00143,Greenfield SAS,2015,Sol,Cadmium et ses composés (Cd),9.14,kg/an
051.00143,Greenfield SAS,2015,Sol,Chrome et ses composés (Cr),306,kg/an
051.00143,Greenfield SAS,2015,Sol,Cuivre et ses composés (Cu),2520,kg/an
051.00143,Greenfield SAS,2015,Sol,Mercure et ses composés (Hg),5.48,kg/an
051.00143,Greenfield SAS,2015,Sol,Nickel et ses composés (Ni),128,kg/an
051.00143,Greenfield SAS,2015,Sol,Plomb et ses composés (Pb),325,kg/an
051.00143,Greenfield SAS,2015,Sol,Zinc et ses composés (Zn),9730,kg/an
051.00190,Rohm and Haas France - site de Chauny,2015,Air,"1,2-dichloroéthane (DCE - chlorure d'éthylène)",3300,kg/an
051.00190,Rohm and Haas France - site de Chauny,2015,Air,Dichlorométhane (DCM - chlorure de méthylène),6520,kg/an
051.00190,Rohm and Haas France - site de Chauny,2015,Air,Méthanol (alcool méthylique),23400,kg/an
051.00190,Rohm and Haas France - site de Chauny,2015,Eau (direct),Aldéhyde formique (formaldéhyde),955,kg/an
051.00190,Rohm and Haas France - site de Chauny,2015,Eau (direct),Chlorures (Cl total),3470.000,t/an
051.00190,Rohm and Haas France - site de Chauny,2015,Eau (direct),Composés organohalogénés (AOX),1230,kg/an
051.00190,Rohm and Haas France - site de Chauny,2015,Eau (direct),Sulfates,3290000,kg/an
051.00257,ST GOBAIN EMBALLAGE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),181000,kg/an
051.00257,ST GOBAIN EMBALLAGE,2015,Air,CO2 Total d'origine non biomasse uniquement,62200.000,t/an
051.00257,ST GOBAIN EMBALLAGE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),62200.000,t/an
051.00293,EVERBAL,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),47500.000,t/an
051.00293,EVERBAL,2015,Air,CO2 Total d'origine biomasse uniquement,47500.000,t/an
051.00293,EVERBAL,2015,Sol,Chrome et ses composés (Cr),52.7,kg/an
051.00293,EVERBAL,2015,Sol,Cuivre et ses composés (Cu),349,kg/an
051.00311,ISDND de Flavigny-le-Grand et Beaurain,2015,Air,Méthane (CH4),670000,kg/an
051.00364,Godin,2015,Eau (direct),Cadmium et ses composés (Cd),1.49,kg/an
051.00390,ISDND HOLNON ET SAVY,2015,Air,Méthane (CH4),245000,kg/an
051.00400,CROWN Food France,2015,Air,Composés organiques volatils non méthaniques (COVNM),110000,kg/an
051.00467,ROQUETTE Frères,2015,Air,Hydroflurocarbures (HFC),644,kg/an
051.00467,ROQUETTE Frères,2015,Air,CO2 Total d'origine non biomasse uniquement,22200.000,t/an
051.00467,ROQUETTE Frères,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),22200.000,t/an
051.00467,ROQUETTE Frères,2015,Sol,Cuivre et ses composés (Cu),65.9,kg/an
051.00467,ROQUETTE Frères,2015,Sol,Zinc et ses composés (Zn),180,kg/an
051.00494,WOELLNER FRANCE,2015,Air,CO2 Total d'origine non biomasse uniquement,11500.000,t/an
