Identifiant,Nom_Etablissement,Numero_SIRET,Adresse,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr
068.02726,NOVERGIE,62201274800977,786 avenue de Gasseras,82000,MONTAUBAN,TARN-ET-GARONNE,MIDI-PYRENEES,521760,1891693,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
066.00247,COMURHEX,71200796200046,Route de Moussan,11100,NARBONNE,AUDE,LANGUEDOC-ROUSSILLON,654400,1798598,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
56144037,GAEC DE LA LANDE GLAMAREC,34135246600013,LA LANDE GLAMAREC,56500,NAIZIN,MORBIHAN,BRETAGNE,214450,2344825,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
29171014,LE DONGE CLAUDE ANDRE,33109966300014,KERMAThEANO,29120,PLOMEUR,FINISTERE,BRETAGNE,104800,2336499,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
18088131,scea DU CORMIER,33265047200019,la tuzerie,18380,ENNORDRES,CHER,CENTRE,603537,2270026,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
052.01262,ASTRIUM,39334151600036,"Avenue du général NIOX 
 B.P. N° 20011",33165,SAINT-MEDARD-EN-JALLES,GIRONDE,AQUITAINE,359012,1992919,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
76181040,SCEA du Mont aux Roux,32889807700016,Le Mont aux Roux,76640,CLEVILLE,SEINE-MARITIME,HAUTE-NORMANDIE,475400,2515200,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(iii),disposant de 750 emplacements pour truies
54901536,GRIMAULT SCEA,31766666700025,La Jambuère,49510,LA POITEVINIERE,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,355200,2252500,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
32285727,EARL LAZIES,40846879100012,Marcade,32320,MONTESQUIOU,GERS,MIDI-PYRENEES,437437,1843889,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
22237130,EARL LONCLE et ROBERT,38488506700015,La Rougerais,22600,PLUDUNO,COTES-D'ARMOR,BRETAGNE,260012,2402437,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
058.03909,EARL RENAULT LEBERQUER,41342141300019,"la bergerie
 Chemin des longs champs",76430,TANCARVILLE,SEINE-MARITIME,HAUTE-NORMANDIE,463200,2500500,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
056.00354,LIMAGRAIN,77563335700014,Zone Agroalimentaire,63720,ENNEZAT,PUY-DE-DOME,AUVERGNE,668900,2100100,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
586.00181,scea de geneston,33048263900029,,86200,MAULAY,VIENNE,POITOU-CHARENTES,438863,2222337,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
